index,movie_name,year_of_release,category,run_time,genre,imdb_rating,votes,gross_total
1,The Godfather,1972,R,175,"Crime, Drama",9.2,1860471,134.97
2,The Silence of the Lambs,1991,R,118,"Crime, Drama, Thriller",8.6,1435344,130.74
3,Star Wars: Episode V - The Empire Strikes Back,1980,PG,124,"Action, Adventure, Fantasy",8.7,1294805,290.48
4,The Shawshank Redemption,1994,R,142,Drama,9.3,2683302,28.34
5,The Shining,1980,R,146,"Drama, Horror",8.4,1025560,44.02
6,Casablanca,1942,PG,102,"Drama, Romance, War",8.5,574092,1.02
7,One Flew Over the Cuckoo's Nest,1975,R,133,Drama,8.7,1010102,112
8,Indiana Jones and the Raiders of the Lost Ark,1981,PG,115,"Action, Adventure",8.4,969143,248.16
9,The Lord of the Rings: The Return of the King,2003,PG-13,201,"Action, Adventure, Drama",9,1849082,377.85
10,Star Wars: Episode IV - A New Hope,1977,PG,121,"Action, Adventure, Fantasy",8.6,1367430,322.74
11,The Dark Knight,2008,PG-13,152,"Action, Crime, Drama",9,2656768,534.86
12,The Godfather: Part II,1974,R,202,"Crime, Drama",9,1273349,57.3
13,Aliens,1986,R,137,"Action, Adventure, Sci-Fi",8.4,720623,85.16
14,Schindler's List,1993,R,195,"Biography, Drama, History",9,1357621,96.9
15,Inception,2010,PG-13,148,"Action, Adventure, Sci-Fi",8.8,2356293,292.58
16,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,"Action, Adventure, Drama",8.8,1878557,315.54
17,Alien,1979,R,117,"Horror, Sci-Fi",8.5,885635,78.9
18,Some Like It Hot,1959,Passed,121,"Comedy, Music, Romance",8.2,269346,25
19,Blade Runner,1982,R,117,"Action, Drama, Sci-Fi",8.1,773425,32.87
20,Se7en,1995,R,127,"Crime, Drama, Mystery",8.6,1655745,100.13
21,Apocalypse Now,1979,R,147,"Drama, Mystery, War",8.5,669994,83.47
22,12 Angry Men,1957,Approved,96,"Crime, Drama",9,792729,4.36
23,The Lord of the Rings: The Two Towers,2002,PG-13,179,"Action, Adventure, Drama",8.8,1669715,342.55
24,Terminator 2: Judgment Day,1991,R,137,"Action, Sci-Fi",8.6,1101850,204.84
25,Star Wars: Episode VI - Return of the Jedi,1983,PG,131,"Action, Adventure, Fantasy",8.3,1056750,309.13
26,Die Hard,1988,R,132,"Action, Thriller",8.2,887967,83.01
27,Gone with the Wind,1939,Passed,238,"Drama, Romance, War",8.2,317621,198.68
28,Taxi Driver,1976,R,114,"Crime, Drama",8.2,836871,28.26
29,Pulp Fiction,1994,R,154,"Crime, Drama",8.9,2058574,107.93
30,The Bridge on the River Kwai,1957,PG,161,"Adventure, Drama, War",8.2,222540,44.91
31,The Lion King,1994,G,88,"Animation, Adventure, Drama",8.5,1060900,422.78
32,North by Northwest,1959,Approved,136,"Action, Adventure, Mystery",8.3,330232,13.28
33,Rear Window,1954,PG,112,"Mystery, Thriller",8.5,493926,36.76
34,Léon: The Professional,1994,R,110,"Action, Crime, Drama",8.5,1164087,19.5
